Borough,Total_POP,House_POP,HOUSE_SZ,U18_POP,Total_HU,OCC_HU,VAC_HU
Manhattan,1694251,1616716,1.98,232511,913926,817782,96144
Bronx,1472654,1419839,2.72,349579,547030,522450,24580
Brooklyn,2736074,2690128,2.66,595703,1077654,1009804,67850
Queens,2405464,2370367,2.8,455995,896333,847210,49123
Staten Island,495747,488412,2.82,106354,183692,173202,10490
