Borough,Total_POP,House_POP,HOUSE_SZ,U18_POP,Total_HU,OCC_HU,VAC_HU
Manhattan,1585873,1518500,1.99,234435,847090,763846,83244
Bronx,1385108,1338398,2.77,368196,511896,483449,28447
Brooklyn,2504700,2469091,2.69,594378,1000293,916856,83437
Queens,2230722,2202722,2.82,461901,835127,780117,55010
Staten Island,468730,460892,2.78,109201,176656,165516,11140
